supply_name,supplier_name,quantity_supplied,hospital_name,weekly_wastage,severity,people_per_week
Doxycycline,Gulf Drug,947,Mediclinic City Hospital Dubai,15,2,315
Atorvastatin,Global Med UAE,3200,American Hospital Dubai,39,1,193
Simvastatin,Paramount Medical Equipment Trading LLC,3193,Saudi German Hospital Dubai,22,3,952
Blood Pressure Monitor,Pharma Solutions,55,Saudi German Hospital Dubai,37,3,756
Salbutamol,Planet Distribution,1450,Saudi German Hospital Dubai,12,2,822
Metronidazole,Metromed,3215,Al Zahra Hospital Dubai,38,4,255
Metformin,Paramount Medical Equipment Trading LLC,1019,American Hospital Dubai,29,2,556
ECG Machine,Al Zahrawi Medical,458,Al Zahra Hospital Dubai,43,4,321
Oxygen Cylinder,HealthPro Distributors UAE,2562,Emirates Hospital Dubai,34,3,576
Scalpel,MPC Healthcare,2790,Al Zahra Hospital Dubai,37,3,580
Lisinopril,Al Zahrawi Medical,1658,American Hospital Dubai,14,1,589
Losartan,Babirus LLC,3482,American Hospital Dubai,26,5,226
Lisinopril,Al Naghi Medical,407,Emirates Hospital Dubai,38,4,897
Pantoprazole,Global Med UAE,3698,American Hospital Dubai,49,5,613
Hydrochlorothiazide,Metromed,3575,Dubai Hospital,28,5,862
Thermometer,Kiwi Medical Supplies,754,American Hospital Dubai,26,4,425
Amoxicillin,MPC Healthcare,275,Saudi German Hospital Dubai,40,4,685
Amoxicillin,Al Naghi Medical,4323,Dubai Hospital,11,3,169
Ciprofloxacin,Paramount Medical Equipment Trading LLC,3890,Dubai Hospital,38,5,961
IV Bag,Al Maqam Medical Supplies LLC,1514,Emirates Hospital Dubai,21,3,243
ECG Machine,Metromed,871,NMC Royal Hospital Dubai,34,3,762
Amoxicillin,Pharma Solutions,1133,NMC Royal Hospital Dubai,13,3,862
Surgical Scissors,Al Zahrawi Medical,4198,American Hospital Dubai,31,2,739
Levothyroxine,Al Zahrawi Medical,1527,Dubai Hospital,16,3,924
Hand Sanitizer,Paramount Medical Equipment Trading LLC,4523,NMC Royal Hospital Dubai,15,5,546
Paracetamol,Global Med UAE,4967,NMC Royal Hospital Dubai,11,4,108
Hand Sanitizer,Planet Distribution,4940,American Hospital Dubai,11,3,100
Syringe Set,Global Med UAE,2037,NMC Royal Hospital Dubai,16,3,356
Wheelchair,Babirus LLC,3064,Al Zahra Hospital Dubai,20,3,488
Syringe Set,Al Maqam Medical Supplies LLC,2348,Mediclinic City Hospital Dubai,38,4,990
Defibrillator,City Pharmacy Co.,2794,Emirates Hospital Dubai,12,3,902
Azithromycin,Gulf Drug,449,Mediclinic City Hospital Dubai,32,4,236
Atorvastatin,Babirus LLC,3471,American Hospital Dubai,40,3,354
Simvastatin,Global Med UAE,616,Saudi German Hospital Dubai,46,3,342
Defibrillator,Metromed,4169,Emirates Hospital Dubai,40,3,978
Atorvastatin,Planet Distribution,4326,American Hospital Dubai,17,3,561
Hand Sanitizer,Babirus LLC,2602,Dubai Hospital,10,3,812
Blood Pressure Monitor,Planet Distribution,2210,Saudi German Hospital Dubai,19,1,431
Insulin Pen,Al Naghi Medical,856,Mediclinic City Hospital Dubai,30,3,291
Hand Sanitizer,HealthPro Distributors UAE,3042,American Hospital Dubai,25,2,183
Salbutamol,Al Naghi Medical,1390,Dubai Hospital,31,4,455
ECG Machine,HealthPro Distributors UAE,4592,Emirates Hospital Dubai,47,2,168
Bandage Roll,AKI Pharma,4000,Emirates Hospital Dubai,22,5,824
Paracetamol,Babirus LLC,2286,Thumbay Hospital Dubai,13,2,290
Bandage Roll,AKI Pharma,1861,Dubai Hospital,11,3,591
Ventilator,HealthPro Distributors UAE,3266,Al Zahra Hospital Dubai,26,4,688
Ciprofloxacin,AKI Pharma,3431,NMC Royal Hospital Dubai,16,3,861
Aspirin,Al Maqam Medical Supplies LLC,3819,Saudi German Hospital Dubai,16,2,718
Omeprazole,Gulf Drug,2909,Dubai Hospital,22,4,849
Surgical Masks,Planet Distribution,4511,Thumbay Hospital Dubai,15,3,981
Wheelchair,Babirus LLC,2814,NMC Royal Hospital Dubai,13,5,305
Pantoprazole,Gulf Drug,1057,NMC Royal Hospital Dubai,35,3,249
Pulse Oximeter,Pharma Solutions,3861,American Hospital Dubai,35,2,474
Paracetamol,Al Maqam Medical Supplies LLC,1044,NMC Royal Hospital Dubai,38,2,911
Stethoscope,MPC Healthcare,605,Al Zahra Hospital Dubai,36,4,461
Losartan,Planet Distribution,987,Emirates Hospital Dubai,26,4,802
Salbutamol,MPC Healthcare,4934,Thumbay Hospital Dubai,37,1,998
Bandage Roll,Metromed,4112,NMC Royal Hospital Dubai,29,3,692
Hydrochlorothiazide,Al Naghi Medical,1895,American Hospital Dubai,32,3,372
Blood Pressure Monitor,HealthPro Distributors UAE,978,Al Zahra Hospital Dubai,28,2,691
Metformin,Al Maqam Medical Supplies LLC,3096,Mediclinic City Hospital Dubai,30,2,963
Hydrochlorothiazide,Al Zahrawi Medical,1011,Emirates Hospital Dubai,32,3,379
Simvastatin,Pharma Solutions,555,Emirates Hospital Dubai,44,3,428
Pulse Oximeter,Global Med UAE,3684,Thumbay Hospital Dubai,15,4,412
Blood Pressure Monitor,Gulf Drug,2470,Emirates Hospital Dubai,11,3,392
ECG Machine,Metromed,3032,NMC Royal Hospital Dubai,14,4,149
Metformin,Al Maqam Medical Supplies LLC,1539,American Hospital Dubai,20,3,900
Ibuprofen,Babirus LLC,4116,Emirates Hospital Dubai,23,3,460
Amoxicillin,Paramount Medical Equipment Trading LLC,2371,Emirates Hospital Dubai,25,3,855
Prednisolone,Al Naghi Medical,4975,Mediclinic City Hospital Dubai,39,1,233
Thermometer,Pharma Solutions,302,Mediclinic City Hospital Dubai,40,4,362
Insulin Pen,Paramount Medical Equipment Trading LLC,1723,Saudi German Hospital Dubai,19,2,267
Doxycycline,HealthPro Distributors UAE,4592,Al Zahra Hospital Dubai,20,1,961
Fluconazole,Global Med UAE,1632,NMC Royal Hospital Dubai,41,4,766
Insulin Pen,Planet Distribution,3919,Emirates Hospital Dubai,50,3,337
Pulse Oximeter,Babirus LLC,3594,Dubai Hospital,15,4,862
Aspirin,AKI Pharma,3837,Emirates Hospital Dubai,43,3,651
Drip Stand,Paramount Medical Equipment Trading LLC,3155,American Hospital Dubai,34,4,109
Defibrillator,City Pharmacy Co.,1079,Saudi German Hospital Dubai,42,3,823
Ciprofloxacin,Al Naghi Medical,3429,Al Zahra Hospital Dubai,26,4,426
Pulse Oximeter,AKI Pharma,2254,Dubai Hospital,19,3,542
Doxycycline,Planet Distribution,1453,Saudi German Hospital Dubai,30,4,325
Doxycycline,Global Med UAE,3438,Thumbay Hospital Dubai,39,1,438
Surgical Scissors,Metromed,537,Al Zahra Hospital Dubai,36,3,283
Syringe Set,HealthPro Distributors UAE,1124,Emirates Hospital Dubai,14,3,263
Stethoscope,HealthPro Distributors UAE,1071,Emirates Hospital Dubai,27,3,797
Fluconazole,Metromed,1333,Al Zahra Hospital Dubai,19,4,958
Metronidazole,City Pharmacy Co.,1627,Emirates Hospital Dubai,25,3,886
Hydrochlorothiazide,City Pharmacy Co.,422,NMC Royal Hospital Dubai,19,4,881
Hydrochlorothiazide,City Pharmacy Co.,230,Al Zahra Hospital Dubai,12,2,816
Azithromycin,Planet Distribution,1341,Saudi German Hospital Dubai,28,3,929
Amoxicillin,Kiwi Medical Supplies,358,Al Zahra Hospital Dubai,15,4,140
Losartan,Kiwi Medical Supplies,3803,Dubai Hospital,29,3,111
Simvastatin,Kiwi Medical Supplies,4314,Emirates Hospital Dubai,37,3,184
Scalpel,AKI Pharma,855,NMC Royal Hospital Dubai,22,3,861
Lisinopril,Pharma Solutions,2533,NMC Royal Hospital Dubai,11,3,982
Pulse Oximeter,Planet Distribution,4786,Thumbay Hospital Dubai,19,4,915
ECG Machine,Gulf Drug,4013,Saudi German Hospital Dubai,35,3,856
Ventilator,Metromed,1328,Mediclinic City Hospital Dubai,14,3,105
Lisinopril,Pharma Solutions,2472,Mediclinic City Hospital Dubai,50,1,424
Pulse Oximeter,MPC Healthcare,4833,Al Zahra Hospital Dubai,38,2,227
Hydrochlorothiazide,Al Naghi Medical,1401,Thumbay Hospital Dubai,25,4,818
Sterile Gauze,Global Med UAE,793,American Hospital Dubai,19,2,477
Simvastatin,HealthPro Distributors UAE,4106,Al Zahra Hospital Dubai,37,2,534
ECG Machine,Pharma Solutions,1918,Thumbay Hospital Dubai,19,3,692
Ventilator,Global Med UAE,2217,Saudi German Hospital Dubai,10,3,999
Wheelchair,Al Zahrawi Medical,1953,Saudi German Hospital Dubai,11,4,252
Drip Stand,Pharma Solutions,92,Saudi German Hospital Dubai,21,3,871
Aspirin,Metromed,2498,Saudi German Hospital Dubai,13,3,873
Metformin,Al Naghi Medical,2667,Saudi German Hospital Dubai,14,3,355
Metformin,Metromed,2560,Thumbay Hospital Dubai,23,2,280
Pulse Oximeter,AKI Pharma,1178,Thumbay Hospital Dubai,21,1,734
Disposable Gloves,Al Naghi Medical,3851,NMC Royal Hospital Dubai,36,5,197
Omeprazole,HealthPro Distributors UAE,3950,Dubai Hospital,11,2,970
Thermometer,Paramount Medical Equipment Trading LLC,1910,Mediclinic City Hospital Dubai,32,1,578
Levothyroxine,Al Zahrawi Medical,4337,Emirates Hospital Dubai,32,3,448
Atorvastatin,Gulf Drug,2860,Saudi German Hospital Dubai,30,2,785
Pulse Oximeter,Babirus LLC,1253,American Hospital Dubai,28,3,191
Doxycycline,Al Naghi Medical,2742,Emirates Hospital Dubai,15,3,446
Pulse Oximeter,Planet Distribution,4512,Thumbay Hospital Dubai,37,3,412
Ventilator,Al Maqam Medical Supplies LLC,1338,American Hospital Dubai,50,4,438
Defibrillator,Al Maqam Medical Supplies LLC,4399,American Hospital Dubai,14,3,663
Ventilator,AKI Pharma,66,American Hospital Dubai,41,4,706
Insulin Pen,Pharma Solutions,4917,NMC Royal Hospital Dubai,41,5,222
Lisinopril,City Pharmacy Co.,3663,Thumbay Hospital Dubai,23,3,899
Surgical Masks,HealthPro Distributors UAE,3839,American Hospital Dubai,11,1,397
Syringe Set,AKI Pharma,1965,Saudi German Hospital Dubai,13,2,942
Levothyroxine,Al Naghi Medical,1513,Al Zahra Hospital Dubai,27,3,748
Simvastatin,AKI Pharma,1324,American Hospital Dubai,49,3,421
Hand Sanitizer,Al Naghi Medical,2285,NMC Royal Hospital Dubai,25,1,514
Wheelchair,Babirus LLC,3146,Emirates Hospital Dubai,37,2,494
Blood Pressure Monitor,Al Zahrawi Medical,2682,Thumbay Hospital Dubai,20,5,988
Metformin,Pharma Solutions,2495,Dubai Hospital,50,1,289
Thermometer,Al Naghi Medical,2295,NMC Royal Hospital Dubai,49,3,123
Oxygen Cylinder,HealthPro Distributors UAE,349,American Hospital Dubai,18,2,240
Doxycycline,Al Naghi Medical,3526,Thumbay Hospital Dubai,37,1,281
Atorvastatin,MPC Healthcare,353,Al Zahra Hospital Dubai,22,2,911
Drip Stand,Global Med UAE,1095,American Hospital Dubai,47,4,832
Pantoprazole,Gulf Drug,560,NMC Royal Hospital Dubai,50,3,357
Bandage Roll,MPC Healthcare,3954,Mediclinic City Hospital Dubai,44,2,641
Sterile Gauze,Al Zahrawi Medical,1590,Saudi German Hospital Dubai,41,3,608
ECG Machine,Planet Distribution,1648,Dubai Hospital,41,3,452
Drip Stand,Pharma Solutions,305,Emirates Hospital Dubai,21,2,853
Hand Sanitizer,Global Med UAE,2471,NMC Royal Hospital Dubai,45,5,887
Insulin Pen,Al Zahrawi Medical,4434,Thumbay Hospital Dubai,44,3,541
Surgical Masks,Al Naghi Medical,1270,Dubai Hospital,27,3,350
Thermometer,AKI Pharma,3008,Dubai Hospital,31,3,902
Drip Stand,Babirus LLC,189,Dubai Hospital,10,4,536
Drip Stand,Planet Distribution,363,American Hospital Dubai,18,3,641
Drip Stand,Metromed,890,Saudi German Hospital Dubai,10,3,880
Hydrochlorothiazide,Paramount Medical Equipment Trading LLC,3394,American Hospital Dubai,32,4,547
Pulse Oximeter,City Pharmacy Co.,2561,Thumbay Hospital Dubai,33,4,848
Surgical Scissors,Al Maqam Medical Supplies LLC,3963,American Hospital Dubai,40,3,190
Levothyroxine,Global Med UAE,3997,Mediclinic City Hospital Dubai,37,4,117
Bandage Roll,City Pharmacy Co.,1316,Saudi German Hospital Dubai,48,2,318
Sterile Gauze,MPC Healthcare,1108,Saudi German Hospital Dubai,17,2,925
Ventilator,HealthPro Distributors UAE,2974,Thumbay Hospital Dubai,40,3,937
Sterile Gauze,AKI Pharma,1733,Emirates Hospital Dubai,10,4,765
Ibuprofen,Pharma Solutions,1890,Mediclinic City Hospital Dubai,21,2,436
Drip Stand,Al Naghi Medical,2047,NMC Royal Hospital Dubai,45,3,593
Salbutamol,Global Med UAE,4228,American Hospital Dubai,14,2,562
IV Bag,HealthPro Distributors UAE,64,Al Zahra Hospital Dubai,31,4,429
Surgical Scissors,HealthPro Distributors UAE,1879,American Hospital Dubai,22,2,296
Azithromycin,Pharma Solutions,4103,Dubai Hospital,45,2,195
Disposable Gloves,Pharma Solutions,3228,American Hospital Dubai,28,5,172
Wheelchair,Global Med UAE,4423,NMC Royal Hospital Dubai,41,4,216
IV Bag,HealthPro Distributors UAE,4739,American Hospital Dubai,22,3,635
Simvastatin,Al Maqam Medical Supplies LLC,2950,Mediclinic City Hospital Dubai,16,5,460
Surgical Scissors,City Pharmacy Co.,326,Mediclinic City Hospital Dubai,38,3,451
Ventilator,AKI Pharma,3772,Saudi German Hospital Dubai,17,3,120
Ibuprofen,Babirus LLC,487,Thumbay Hospital Dubai,31,3,466
Metformin,Al Naghi Medical,1104,Emirates Hospital Dubai,36,3,933
Hydrochlorothiazide,Global Med UAE,2002,Al Zahra Hospital Dubai,43,3,185
Doxycycline,Babirus LLC,316,Dubai Hospital,36,2,540
Bandage Roll,Pharma Solutions,2719,American Hospital Dubai,20,3,404
Salbutamol,HealthPro Distributors UAE,4097,American Hospital Dubai,23,3,683
Surgical Scissors,AKI Pharma,1968,NMC Royal Hospital Dubai,26,3,987
Ventilator,Kiwi Medical Supplies,540,Thumbay Hospital Dubai,38,3,388
Stethoscope,Paramount Medical Equipment Trading LLC,612,Mediclinic City Hospital Dubai,36,3,665
Pulse Oximeter,City Pharmacy Co.,1912,Al Zahra Hospital Dubai,28,3,505
Salbutamol,Pharma Solutions,2029,Saudi German Hospital Dubai,15,2,171
Aspirin,Paramount Medical Equipment Trading LLC,2530,Mediclinic City Hospital Dubai,44,3,391
Doxycycline,Pharma Solutions,2126,Dubai Hospital,13,2,372
Thermometer,Global Med UAE,1978,Thumbay Hospital Dubai,49,4,718
Fluconazole,Gulf Drug,2310,Dubai Hospital,22,2,815
Hand Sanitizer,AKI Pharma,3267,Emirates Hospital Dubai,27,3,435
Thermometer,Paramount Medical Equipment Trading LLC,3837,Saudi German Hospital Dubai,14,3,860
Losartan,MPC Healthcare,3997,Emirates Hospital Dubai,33,4,984
Metformin,Planet Distribution,904,NMC Royal Hospital Dubai,48,3,403
Insulin Pen,Metromed,4307,Dubai Hospital,14,4,315
Hand Sanitizer,HealthPro Distributors UAE,4520,NMC Royal Hospital Dubai,10,3,876
Losartan,Al Maqam Medical Supplies LLC,1078,American Hospital Dubai,12,2,662
Defibrillator,Al Naghi Medical,4764,Emirates Hospital Dubai,33,3,342
Fluconazole,Paramount Medical Equipment Trading LLC,535,Thumbay Hospital Dubai,10,4,475
Ibuprofen,Paramount Medical Equipment Trading LLC,2268,Dubai Hospital,19,2,888
Metformin,Al Zahrawi Medical,3813,Al Zahra Hospital Dubai,46,1,660
Omeprazole,Al Naghi Medical,1149,Saudi German Hospital Dubai,32,1,320
Oxygen Cylinder,Global Med UAE,2554,Mediclinic City Hospital Dubai,36,3,533
Wheelchair,Global Med UAE,4099,Thumbay Hospital Dubai,14,2,736
Defibrillator,Al Zahrawi Medical,1645,Thumbay Hospital Dubai,19,2,240
Syringe Set,Al Maqam Medical Supplies LLC,786,NMC Royal Hospital Dubai,27,1,235
Doxycycline,Babirus LLC,1942,Emirates Hospital Dubai,50,3,595
IV Bag,Al Zahrawi Medical,4414,Dubai Hospital,44,5,439
Metronidazole,AKI Pharma,4865,Dubai Hospital,20,3,586
Ibuprofen,HealthPro Distributors UAE,900,American Hospital Dubai,37,3,210
Salbutamol,Al Naghi Medical,3531,American Hospital Dubai,50,4,303
Syringe Set,HealthPro Distributors UAE,2265,Saudi German Hospital Dubai,48,3,256
Doxycycline,Kiwi Medical Supplies,4804,NMC Royal Hospital Dubai,38,2,257
Disposable Gloves,Al Naghi Medical,3600,Thumbay Hospital Dubai,36,5,965
Aspirin,Pharma Solutions,462,Dubai Hospital,32,3,742
ECG Machine,Al Maqam Medical Supplies LLC,305,Al Zahra Hospital Dubai,16,1,602
Pantoprazole,Al Zahrawi Medical,4455,NMC Royal Hospital Dubai,48,3,292
Syringe Set,Kiwi Medical Supplies,1804,Saudi German Hospital Dubai,23,4,965
Azithromycin,MPC Healthcare,2482,Saudi German Hospital Dubai,46,3,815
Surgical Masks,Al Naghi Medical,682,NMC Royal Hospital Dubai,18,3,344
Stethoscope,Paramount Medical Equipment Trading LLC,3444,Saudi German Hospital Dubai,16,3,484
Azithromycin,Gulf Drug,4146,NMC Royal Hospital Dubai,23,2,726
Paracetamol,Paramount Medical Equipment Trading LLC,3608,Mediclinic City Hospital Dubai,46,5,795
Azithromycin,Paramount Medical Equipment Trading LLC,2577,NMC Royal Hospital Dubai,42,3,784
