supply_name,supplier_name,quantity_supplied,hospital_name,weekly_wastage,severity,people_per_week,hashcode
Salbutamol,Al Maqam Medical Supplies LLC,6878.0,Emirates Hospital Dubai,36,4,360,b83a25a0f69e6784686e05763ee8b30c
Thermometer,Pharma Solutions,7805.0,Mediclinic City Hospital Dubai,25,4,712,f04c4cb85ea2b2160bf94e4c14ddb64e
Metronidazole,Global Med UAE,2012.0,Dubai Hospital,24,5,853,c5d1a2ffd605261f75c3deed7a267b1f
Surgical Masks,Al Zahrawi Medical,3372.0,Saudi German Hospital Dubai,39,4,161,53e47a7f51427a292b1e6d068acadc0b
Aspirin,Pharma Solutions,9654.0,Saudi German Hospital Dubai,14,5,739,c1ece60b3fc8312e64051d01c8224fee
Hydrochlorothiazide,Al Zahrawi Medical,9411.0,Dubai Hospital,28,3,282,59bcc526755765365e2f17fef33b49e5
Scalpel,Al Maqam Medical Supplies LLC,2814.0,Emirates Hospital Dubai,22,3,262,db68b07022e9f0dfd3ddcb8e7433304f
Oxygen Cylinder,Al Naghi Medical,1129.0,Thumbay Hospital Dubai,20,5,705,28dc63c6a4a9a597615b1ef48066e511
Sterile Gauze,HealthPro Distributors UAE,251.0,Thumbay Hospital Dubai,32,5,891,9fc947ba3bc61883b6f33a9dace46469
Defibrillator,Paramount Medical Equipment Trading LLC,2859.0,Emirates Hospital Dubai,43,2,592,50641c50c0d97088b6ea16ead209c50b
Pantoprazole,Paramount Medical Equipment Trading LLC,1053.0,Thumbay Hospital Dubai,23,3,747,5eeaa4e2e59bf061cda9a820bff347d3
Paracetamol,Global Med UAE,19070.0,NMC Royal Hospital Dubai,21,3,473,451cb519559a9f5baa9ddb3b26d1236a
Surgical Scissors,Kiwi Medical Supplies,549.0,Saudi German Hospital Dubai,19,3,793,d8c5129ce3fefa3c3788ee88e8a445f8
Syringe Set,Al Maqam Medical Supplies LLC,23466.0,Emirates Hospital Dubai,33,1,409,7855dc72686f0298637c1d8617dff96b
Stethoscope,Pharma Solutions,5830.0,Saudi German Hospital Dubai,41,1,469,a4626ba0670367180710289ca44676cd
Simvastatin,Metromed,9917.0,Dubai Hospital,36,2,476,00b0fa316e89617a96a720761d74dc56
Bandage Roll,Al Zahrawi Medical,4799.0,American Hospital Dubai,20,2,725,7236e12de5c13a056ae3b68b1aaa0f20
Thermometer,Kiwi Medical Supplies,6022.0,NMC Royal Hospital Dubai,29,4,371,f26d7b6c0a5576182f4867aa72857efe
Bandage Roll,Paramount Medical Equipment Trading LLC,2859.0,Al Zahra Hospital Dubai,35,3,286,ef5654684f0d790983fda95a8ee8744b
IV Bag,Gulf Drug,13201.0,NMC Royal Hospital Dubai,16,5,663,dcda0c37667b53ce14939f060f784935
Atorvastatin,Babirus LLC,5679.0,Emirates Hospital Dubai,31,4,827,c26fb8a9284164fca864ea9b59ffd7c7
Pulse Oximeter,Al Zahrawi Medical,4780.0,Al Zahra Hospital Dubai,15,2,905,db6255545cc62dff90cec395fbccdcf0
Stethoscope,Pharma Solutions,6751.0,American Hospital Dubai,17,3,875,5bb0ac60a1886675237d9527ac9d837e
Defibrillator,Global Med UAE,2832.0,Emirates Hospital Dubai,44,3,145,82e14bec8b51a555e8eded78bfda3e7f
Simvastatin,Kiwi Medical Supplies,10027.0,Mediclinic City Hospital Dubai,41,3,141,15111092d296175925881a1688fbc641
Sterile Gauze,HealthPro Distributors UAE,3930.0,Saudi German Hospital Dubai,26,3,654,4c51669e679f046548b300fb0cb84d66
Amoxicillin,Babirus LLC,13179.0,American Hospital Dubai,42,2,699,c89656354312f87b96e16852b0375ce9
Thermometer,Global Med UAE,9916.0,Saudi German Hospital Dubai,48,3,478,3d0e8a1d901f34291dfa16524e4e1991
Syringe Set,MPC Healthcare,22385.0,Thumbay Hospital Dubai,24,1,356,bfe4cf439fc52692c08335f77c30e691
Paracetamol,Al Maqam Medical Supplies LLC,16884.0,Mediclinic City Hospital Dubai,37,5,897,4a7e97b7edc281e93b93423b63848e11
Metformin,Paramount Medical Equipment Trading LLC,12355.0,Mediclinic City Hospital Dubai,13,3,798,0fdd6be71361cdc84ca211e2df0bae07
Blood Pressure Monitor,Al Maqam Medical Supplies LLC,475.0,American Hospital Dubai,31,2,376,393e08dff320948d8cc2febf99061509
Paracetamol,Babirus LLC,16369.0,Mediclinic City Hospital Dubai,29,4,890,5727f57334fd65e3e8e4539679962c2d
Amoxicillin,Al Zahrawi Medical,13379.0,Al Zahra Hospital Dubai,14,3,483,4e4411099404721b49f1573b811646a8
Hydrochlorothiazide,Al Zahrawi Medical,11348.0,Mediclinic City Hospital Dubai,11,4,642,5af392774e0db9499189083398da895b
Prednisolone,MPC Healthcare,4365.0,Saudi German Hospital Dubai,40,5,667,860aed803a2cb6e901aa86f5afd5e21e
Drip Stand,MPC Healthcare,3808.0,Saudi German Hospital Dubai,24,3,736,5b72dc08d0e938dfc01de9029c89fa9f
Hand Sanitizer,Global Med UAE,3234.0,Emirates Hospital Dubai,27,3,132,09ecec646fd757f17300e8a2414e21a9
Pulse Oximeter,Kiwi Medical Supplies,4839.0,Saudi German Hospital Dubai,25,3,402,98c3da5f62d741eac0c0684348d288f3
Ventilator,MPC Healthcare,2280.0,Emirates Hospital Dubai,37,3,301,72b3d04405ce2c4f4971c8aff754634d
Salbutamol,Pharma Solutions,7996.0,Saudi German Hospital Dubai,41,3,193,6c27bd4a1f5d350d2070dc358d4f5b90
Doxycycline,Global Med UAE,5121.0,Al Zahra Hospital Dubai,13,4,451,0ee0e646313f93fabf62ed5af2a9c8fb
Ibuprofen,Gulf Drug,2657.0,Dubai Hospital,10,2,684,9666d6c2b7090caa21b06991751c29af
Ibuprofen,Gulf Drug,3588.0,Emirates Hospital Dubai,45,5,906,dbbde57847f2d6cf720a789910bf4f62
Prednisolone,Global Med UAE,6011.0,NMC Royal Hospital Dubai,37,2,810,804a5809aa25c75b9fd703019590b993
Prednisolone,AKI Pharma,6180.0,Thumbay Hospital Dubai,45,3,106,f3bd28ab77af9edb0eed3642fe87bb59
Bandage Roll,Gulf Drug,1472.0,American Hospital Dubai,28,4,326,a04e183923310cee6b306950b3aff3b9
Pantoprazole,Metromed,4202.0,Saudi German Hospital Dubai,44,3,130,c12e55ab3687ec65470df09bc945e5e8
Ventilator,Metromed,2567.0,Mediclinic City Hospital Dubai,37,2,438,9a9bce5398902f065f1e7613a116c6da
Metformin,Global Med UAE,10368.0,Dubai Hospital,45,4,458,50503c03bcc06b3db382243ec3433aaf
Salbutamol,Babirus LLC,7052.0,Saudi German Hospital Dubai,40,3,379,5250be7d26f12759bccc23694b662d35
Syringe Set,Global Med UAE,24540.0,Mediclinic City Hospital Dubai,43,5,530,33643ba25f1a8a897b08a2aa6abd8b01
Ibuprofen,Babirus LLC,2911.0,Thumbay Hospital Dubai,31,3,912,117aff682c6a9d33057eba4b4f152c63
Thermometer,Pharma Solutions,5406.0,Thumbay Hospital Dubai,46,3,927,be74fba56eed92df7018528e7e2b7cc9
Bandage Roll,Paramount Medical Equipment Trading LLC,5076.0,Thumbay Hospital Dubai,48,5,639,8e096a33a93b8ccb8f931cd3560e6a43
Surgical Masks,HealthPro Distributors UAE,4707.0,Mediclinic City Hospital Dubai,30,3,514,268e367e03616a1e24c5619064d793b0
Simvastatin,Metromed,10412.0,Saudi German Hospital Dubai,22,3,532,3a24bb4b1bbc0839d93094555e4ea1d3
Paracetamol,Al Naghi Medical,17731.0,Thumbay Hospital Dubai,32,3,525,ccab0b20a309d4f17d239d0231d8b529
Atorvastatin,Al Naghi Medical,6768.0,Al Zahra Hospital Dubai,18,1,559,9b793c24c721459848b52890b632d5dc
Hydrochlorothiazide,AKI Pharma,8008.0,Emirates Hospital Dubai,45,3,126,343e63d85d4765c27fac3aa2c2164b1c
Lisinopril,Kiwi Medical Supplies,7759.0,Mediclinic City Hospital Dubai,17,5,906,13b33efea546b1c2d02cc14c84303873
Amoxicillin,Al Maqam Medical Supplies LLC,13710.0,Mediclinic City Hospital Dubai,24,1,258,3661e352d68b44ba9d90795accd01f9d
Doxycycline,Planet Distribution,7317.0,Saudi German Hospital Dubai,21,4,427,fbadae2ccfaecbc0778f590ab63c91ed
Lisinopril,Kiwi Medical Supplies,7098.0,Mediclinic City Hospital Dubai,41,2,950,2d3244b736a0e6a8cade16035e09acaf
Surgical Masks,AKI Pharma,5850.0,Mediclinic City Hospital Dubai,11,5,583,2e313923831b676b1fa10096bd09f8c3
Ciprofloxacin,Gulf Drug,4549.0,Thumbay Hospital Dubai,26,2,125,cfa2d3515b41e9b82f85bad0d7609dbe
Doxycycline,Al Zahrawi Medical,5544.0,Saudi German Hospital Dubai,18,3,524,d478255cbdc7e44d7f34fdfdf8e16c56
Paracetamol,Planet Distribution,19469.0,Thumbay Hospital Dubai,31,4,333,bea9a75c4b7ecc5df6b9979294eb96e4
Blood Pressure Monitor,MPC Healthcare,3156.0,Emirates Hospital Dubai,43,2,638,069fecb4ad3d2eb60a013922485e57d6
Salbutamol,Paramount Medical Equipment Trading LLC,6292.0,Dubai Hospital,25,4,485,762c22d61e000e550d04b1c4a7be1963
Prednisolone,Al Maqam Medical Supplies LLC,3546.0,Emirates Hospital Dubai,15,2,553,6e99a614a2d60e049d218032a2f48aa3
Bandage Roll,Planet Distribution,2629.0,Dubai Hospital,20,3,166,ced3c7e386305b94a84fdc5fd4015443
IV Bag,HealthPro Distributors UAE,12687.0,Thumbay Hospital Dubai,45,4,725,9d736b05dd6f86e5715b816da87acc16
Atorvastatin,HealthPro Distributors UAE,7394.0,Emirates Hospital Dubai,13,3,566,d48d38e3da106f24d75cbf7d5ef20276
ECG Machine,AKI Pharma,623.0,Saudi German Hospital Dubai,50,4,372,5b530fd6e22381cb386c2d5fc2664dd8
Losartan,HealthPro Distributors UAE,3521.0,American Hospital Dubai,39,3,648,6d16fc4da51607f71536ba38f30a3932
Prednisolone,AKI Pharma,7981.0,Thumbay Hospital Dubai,48,5,578,a0c9dc33929b1371032111f86802c1e7
IV Bag,Gulf Drug,10274.0,Dubai Hospital,49,2,383,7a763c65d55265eca41d529ffeb880bd
Azithromycin,Planet Distribution,11014.0,Al Zahra Hospital Dubai,22,2,859,720d4853d530ca97317b796cf18f256f
Atorvastatin,Al Naghi Medical,3850.0,Dubai Hospital,14,3,481,83118d15acaa3db6b470481bbf158c15
Omeprazole,Global Med UAE,11978.0,Al Zahra Hospital Dubai,20,1,894,c8be768df8892ea70503cc71def83a34
Levothyroxine,Al Maqam Medical Supplies LLC,7584.0,Mediclinic City Hospital Dubai,46,4,320,506a657d07616e3243251d8dd65aab82
Aspirin,City Pharmacy Co.,12275.0,Emirates Hospital Dubai,35,4,226,239e8219002486edb19bbda8bf9a8b34
Omeprazole,AKI Pharma,10010.0,Al Zahra Hospital Dubai,33,1,524,4212b554788abac5c2d0f14d9e7435c5
Prednisolone,Planet Distribution,6046.0,Dubai Hospital,10,3,455,cc05af6deac38cf2397b560bb0da17c5
Doxycycline,Gulf Drug,5447.0,Mediclinic City Hospital Dubai,15,2,315,08e57056671bd25d681664061c506d10
Atorvastatin,Global Med UAE,6200.0,American Hospital Dubai,39,1,193,611189e967158c7ff472cb9e463c1604
Simvastatin,Paramount Medical Equipment Trading LLC,9693.0,Saudi German Hospital Dubai,22,3,952,7de734d411477bc20211084e7a4f52ec
Blood Pressure Monitor,Pharma Solutions,155.0,Saudi German Hospital Dubai,37,3,756,bd851a4ee146089d623a885f815e24c4
Salbutamol,Planet Distribution,7450.0,Saudi German Hospital Dubai,12,2,822,49360c6b77906be347a967ff12d62b0c
Metronidazole,Metromed,3215.0,Al Zahra Hospital Dubai,38,4,255,130352fce30529b407d5bdb174c9a182
Metformin,Paramount Medical Equipment Trading LLC,11019.0,American Hospital Dubai,29,2,556,d6c64d77b91739528a1a55a9954782f8
ECG Machine,Al Zahrawi Medical,483.0,Al Zahra Hospital Dubai,43,4,321,6f3289598a25cf7385b1ae5e18b5a6f9
Oxygen Cylinder,HealthPro Distributors UAE,2562.0,Emirates Hospital Dubai,34,3,576,e2341af5b4c14743637cbf43832ef9ae
Scalpel,MPC Healthcare,2790.0,Al Zahra Hospital Dubai,37,3,580,967b73edd288291b5e5ae5b785485425
Lisinopril,Al Zahrawi Medical,8658.0,American Hospital Dubai,14,1,589,2e3daa5d6f4e70a51414f6491d62b169
Losartan,Babirus LLC,3482.0,American Hospital Dubai,26,5,226,5455c3b4fe01a34fb726c81a59ae39fa
Lisinopril,Al Naghi Medical,7407.0,Emirates Hospital Dubai,38,4,897,a93ea3b2ffed2dee6d7a494faddb6e26
Pantoprazole,Global Med UAE,3698.0,American Hospital Dubai,49,5,613,1ae8f9bb83c5d6a1ad5d4a85a64c56ed
Hydrochlorothiazide,Metromed,11075.0,Dubai Hospital,28,5,862,44ebaaaabb460ebbf7fe6341abe2bf92
Thermometer,Kiwi Medical Supplies,5754.0,American Hospital Dubai,26,4,425,6e6d8e12194dc816be8501d895e13ab3
Amoxicillin,MPC Healthcare,12275.0,Saudi German Hospital Dubai,40,4,685,c7edea9b8fc775bcf1fe0694994e203a
Amoxicillin,Al Naghi Medical,16323.0,Dubai Hospital,11,3,169,3e102ba90ddf864b9ee6de1ce77d3d46
Ciprofloxacin,Paramount Medical Equipment Trading LLC,7890.0,Dubai Hospital,38,5,961,c1c9c3b3777af3a5c6109aaa34d28a44
IV Bag,Al Maqam Medical Supplies LLC,11514.0,Emirates Hospital Dubai,21,3,243,41588c5b74ad89c30222467d0533d6be
ECG Machine,Metromed,896.0,NMC Royal Hospital Dubai,34,3,762,79336ccbe725794532c31cef8c95736c
Amoxicillin,Pharma Solutions,13133.0,NMC Royal Hospital Dubai,13,3,862,3488d00767c055de4668ffec8e339796
Surgical Scissors,Al Zahrawi Medical,4298.0,American Hospital Dubai,31,2,739,46a9d364131d75407620e12fd9bef785
Levothyroxine,Al Zahrawi Medical,7027.0,Dubai Hospital,16,3,924,107c2b3ea59747a9e4f16ef16c3efe11
Hand Sanitizer,Paramount Medical Equipment Trading LLC,4523.0,NMC Royal Hospital Dubai,15,5,546,a93d91355c2d041d7c8dce2e671f2123
Paracetamol,Global Med UAE,19967.0,NMC Royal Hospital Dubai,11,4,108,da66be88e0d2d54bf9b64994dabc71e2
Hand Sanitizer,Planet Distribution,4940.0,American Hospital Dubai,11,3,100,502c4aceadb171927003f42a7e81cb65
Syringe Set,Global Med UAE,22037.0,NMC Royal Hospital Dubai,16,3,356,006e528dfd485934d4a6797d97d479ea
Wheelchair,Babirus LLC,3314.0,Al Zahra Hospital Dubai,20,3,488,998a1f3ea615d770fca0b3f01022409b
Syringe Set,Al Maqam Medical Supplies LLC,22348.0,Mediclinic City Hospital Dubai,38,4,990,5beb4dda6c97d7b7fc42c835a132602d
Defibrillator,City Pharmacy Co.,2844.0,Emirates Hospital Dubai,12,3,902,944626c1cc931137cba8d9c701497e90
Azithromycin,Gulf Drug,8449.0,Mediclinic City Hospital Dubai,32,4,236,a6b9cabac6b6204e85d28205544f5f70
Atorvastatin,Babirus LLC,6471.0,American Hospital Dubai,40,3,354,337c99fa2af44531a67b58fa788f27d9
Simvastatin,Global Med UAE,7116.0,Saudi German Hospital Dubai,46,3,342,0045f0871610e3556833d7709f41f631
Defibrillator,Metromed,4219.0,Emirates Hospital Dubai,40,3,978,9edca3b084e10501bd5fd23aae4dd303
Atorvastatin,Planet Distribution,7326.0,American Hospital Dubai,17,3,561,2cd98023e8600569a32e5cdc9e576342
Hand Sanitizer,Babirus LLC,2602.0,Dubai Hospital,10,3,812,9af8584acb22e582b2e9c15daa259d3b
Blood Pressure Monitor,Planet Distribution,2310.0,Saudi German Hospital Dubai,19,1,431,dbad19559ac798d5784aa6d5e8bad77b
Insulin Pen,Al Naghi Medical,3356.0,Mediclinic City Hospital Dubai,30,3,291,5d3ba2ec9d34be5eca4092d2510c6516
Hand Sanitizer,HealthPro Distributors UAE,3042.0,American Hospital Dubai,25,2,183,f2daddf777149b5e37863d5018185d32
Salbutamol,Al Naghi Medical,7390.0,Dubai Hospital,31,4,455,973b3d513422264ccee72ad1b58a69b1
ECG Machine,HealthPro Distributors UAE,4617.0,Emirates Hospital Dubai,47,2,168,378bb11267222c71698ef10f502b6f66
Bandage Roll,AKI Pharma,4200.0,Emirates Hospital Dubai,22,5,824,de24d8310faf0e19a98a9fbd45b6866a
Paracetamol,Babirus LLC,17286.0,Thumbay Hospital Dubai,13,2,290,5b8a5a9acc27f4ff58856c874bc520e5
Bandage Roll,AKI Pharma,2061.0,Dubai Hospital,11,3,591,21b6df38048762d5526a2408ec60a097
Ventilator,HealthPro Distributors UAE,4266.0,Al Zahra Hospital Dubai,26,4,688,7888d0064c1d7ee116179cda4bd6b3bc
Ciprofloxacin,AKI Pharma,7431.0,NMC Royal Hospital Dubai,16,3,861,d8c6beb2b43f6c8bc10bb6715c1a5f3c
Aspirin,Al Maqam Medical Supplies LLC,11819.0,Saudi German Hospital Dubai,16,2,718,1cfbce45eb44737e94cca5f7466d088e
Omeprazole,Gulf Drug,11909.0,Dubai Hospital,22,4,849,fee56f7177bf200250102a8378cd8f59
Surgical Masks,Planet Distribution,7511.0,Thumbay Hospital Dubai,15,3,981,f5afd7170a9aee5425b20eb273dfb606
Wheelchair,Babirus LLC,3064.0,NMC Royal Hospital Dubai,13,5,305,bac8e9670c9f06ca5b732ba3dc0ae1f5
Pantoprazole,Gulf Drug,1057.0,NMC Royal Hospital Dubai,35,3,249,e921406ac4baebc374d5c2a8acfe856c
Pulse Oximeter,Pharma Solutions,4011.0,American Hospital Dubai,35,2,474,0677cf6cb852c2cddaada602c7015a95
Paracetamol,Al Maqam Medical Supplies LLC,16044.0,NMC Royal Hospital Dubai,38,2,911,9d2bd3878d8cd70b9be4c1b30c46e2b8
Stethoscope,MPC Healthcare,3605.0,Al Zahra Hospital Dubai,36,4,461,ba786da7cd396f624ef2880a69c68b50
Losartan,Planet Distribution,987.0,Emirates Hospital Dubai,26,4,802,c6dc64c0b8924d733af71ce191ed78ee
Salbutamol,MPC Healthcare,10934.0,Thumbay Hospital Dubai,37,1,998,47f021accefff8a2e94d0fee99a9a8ec
Bandage Roll,Metromed,4312.0,NMC Royal Hospital Dubai,29,3,692,5e6fc9155bacd410e3ddff176f0b1562
Hydrochlorothiazide,Al Naghi Medical,9395.0,American Hospital Dubai,32,3,372,d476ae86bf59a4af8af608106284991d
Blood Pressure Monitor,HealthPro Distributors UAE,1078.0,Al Zahra Hospital Dubai,28,2,691,288afb340d339edad44705e7a770544a
Metformin,Al Maqam Medical Supplies LLC,13096.0,Mediclinic City Hospital Dubai,30,2,963,cb4135dbfba07ed3aa57955e476af7c2
Hydrochlorothiazide,Al Zahrawi Medical,8511.0,Emirates Hospital Dubai,32,3,379,f884c8be63860efcabde764c2046452a
Simvastatin,Pharma Solutions,7055.0,Emirates Hospital Dubai,44,3,428,b9cb571a6f762fa5e0962e46ae403bb9
Pulse Oximeter,Global Med UAE,3834.0,Thumbay Hospital Dubai,15,4,412,6e2f9de57a3f85605da7620e671cafea
Blood Pressure Monitor,Gulf Drug,2570.0,Emirates Hospital Dubai,11,3,392,e01f0de8af92bf840ddf96dac04154cf
ECG Machine,Metromed,3057.0,NMC Royal Hospital Dubai,14,4,149,705a52bb6179525a409961402f307e6d
Metformin,Al Maqam Medical Supplies LLC,11539.0,American Hospital Dubai,20,3,900,a507269538734426fffd8342c192d0fa
Ibuprofen,Babirus LLC,4116.0,Emirates Hospital Dubai,23,3,460,a62b1efe38e76d31e394159a76dd3d40
Amoxicillin,Paramount Medical Equipment Trading LLC,14371.0,Emirates Hospital Dubai,25,3,855,95598e9660d27744957a8cd72b2b1bec
Prednisolone,Al Naghi Medical,8475.0,Mediclinic City Hospital Dubai,39,1,233,6655ee85fafe8f0cd15f142d50d54ae1
Thermometer,Pharma Solutions,5302.0,Mediclinic City Hospital Dubai,40,4,362,15a368c1dd5c9dd9b3ba1d9cbc98b3e7
Insulin Pen,Paramount Medical Equipment Trading LLC,4223.0,Saudi German Hospital Dubai,19,2,267,c8e87b070e53b2e162862bb09b385fdb
Doxycycline,HealthPro Distributors UAE,9092.0,Al Zahra Hospital Dubai,20,1,961,1989362944385d60f71201756874d30e
Fluconazole,Global Med UAE,6632.0,NMC Royal Hospital Dubai,41,4,766,89053d1f1678626c057df5372ef0d016
Insulin Pen,Planet Distribution,6419.0,Emirates Hospital Dubai,50,3,337,eb1633d138a3d1425a77e535c1861df9
Pulse Oximeter,Babirus LLC,3744.0,Dubai Hospital,15,4,862,209f7fae5920f47b8f3fd6ee9d4a5216
Aspirin,AKI Pharma,11837.0,Emirates Hospital Dubai,43,3,651,65baa336d87c017f20f1cc3fcbfc242f
Drip Stand,Paramount Medical Equipment Trading LLC,4655.0,American Hospital Dubai,34,4,109,41ef88bdfba38b8802df6e1c2d5672bb
Defibrillator,City Pharmacy Co.,1129.0,Saudi German Hospital Dubai,42,3,823,416b025f43faa392553d4a99d8c5ee92
Ciprofloxacin,Al Naghi Medical,7429.0,Al Zahra Hospital Dubai,26,4,426,5524e4f1a032deca57e513d538e6e789
Pulse Oximeter,AKI Pharma,2404.0,Dubai Hospital,19,3,542,312facdb90b5d139f6ba9d85d3c4d6a3
Doxycycline,Planet Distribution,5953.0,Saudi German Hospital Dubai,30,4,325,f5f544671d1ecc92e440a513fa754d64
Doxycycline,Global Med UAE,7938.0,Thumbay Hospital Dubai,39,1,438,d520848a9c6b57ed1aa62ec51de14b45
Surgical Scissors,Metromed,637.0,Al Zahra Hospital Dubai,36,3,283,cdd147c58b48eaff30dabd75a13596b1
Syringe Set,HealthPro Distributors UAE,21124.0,Emirates Hospital Dubai,14,3,263,b3a6458d217060f2c3e96ea81701e529
Stethoscope,HealthPro Distributors UAE,4071.0,Emirates Hospital Dubai,27,3,797,0a8c56afb78c2fd34f655edec40ad160
