supply_name,supplier_name,quantity_supplied,hospital_name,weekly_wastage,severity,people_per_week
Thermometer,Pharma Solutions,5406.0,Thumbay Hospital Dubai,46,3,927
Bandage Roll,Paramount Medical Equipment Trading LLC,5076.0,Thumbay Hospital Dubai,48,5,639
Surgical Masks,HealthPro Distributors UAE,4707.0,Mediclinic City Hospital Dubai,30,3,514
Simvastatin,Metromed,10412.0,Saudi German Hospital Dubai,22,3,532
Paracetamol,Al Naghi Medical,17731.0,Thumbay Hospital Dubai,32,3,525
Atorvastatin,Al Naghi Medical,6768.0,Al Zahra Hospital Dubai,18,1,559
Hydrochlorothiazide,AKI Pharma,8008.0,Emirates Hospital Dubai,45,3,126
Lisinopril,Kiwi Medical Supplies,7759.0,Mediclinic City Hospital Dubai,17,5,906
Amoxicillin,Al Maqam Medical Supplies LLC,13710.0,Mediclinic City Hospital Dubai,24,1,258
Doxycycline,Planet Distribution,7317.0,Saudi German Hospital Dubai,21,4,427
Lisinopril,Kiwi Medical Supplies,7098.0,Mediclinic City Hospital Dubai,41,2,950
Surgical Masks,AKI Pharma,5850.0,Mediclinic City Hospital Dubai,11,5,583
Ciprofloxacin,Gulf Drug,4549.0,Thumbay Hospital Dubai,26,2,125
Doxycycline,Al Zahrawi Medical,5544.0,Saudi German Hospital Dubai,18,3,524
Paracetamol,Planet Distribution,19469.0,Thumbay Hospital Dubai,31,4,333
Blood Pressure Monitor,MPC Healthcare,3156.0,Emirates Hospital Dubai,43,2,638
Salbutamol,Paramount Medical Equipment Trading LLC,6292.0,Dubai Hospital,25,4,485
Prednisolone,Al Maqam Medical Supplies LLC,3546.0,Emirates Hospital Dubai,15,2,553
Bandage Roll,Planet Distribution,2629.0,Dubai Hospital,20,3,166
IV Bag,HealthPro Distributors UAE,12687.0,Thumbay Hospital Dubai,45,4,725
Atorvastatin,HealthPro Distributors UAE,7394.0,Emirates Hospital Dubai,13,3,566
ECG Machine,AKI Pharma,623.0,Saudi German Hospital Dubai,50,4,372
Losartan,HealthPro Distributors UAE,3521.0,American Hospital Dubai,39,3,648
Prednisolone,AKI Pharma,7981.0,Thumbay Hospital Dubai,48,5,578
IV Bag,Gulf Drug,10274.0,Dubai Hospital,49,2,383
Azithromycin,Planet Distribution,11014.0,Al Zahra Hospital Dubai,22,2,859
Atorvastatin,Al Naghi Medical,3850.0,Dubai Hospital,14,3,481
Omeprazole,Global Med UAE,11978.0,Al Zahra Hospital Dubai,20,1,894
Levothyroxine,Al Maqam Medical Supplies LLC,7584.0,Mediclinic City Hospital Dubai,46,4,320
Aspirin,City Pharmacy Co.,12275.0,Emirates Hospital Dubai,35,4,226
Omeprazole,AKI Pharma,10010.0,Al Zahra Hospital Dubai,33,1,524
Prednisolone,Planet Distribution,6046.0,Dubai Hospital,10,3,455
Doxycycline,Gulf Drug,5447.0,Mediclinic City Hospital Dubai,15,2,315
Atorvastatin,Global Med UAE,6200.0,American Hospital Dubai,39,1,193
Simvastatin,Paramount Medical Equipment Trading LLC,9693.0,Saudi German Hospital Dubai,22,3,952
Blood Pressure Monitor,Pharma Solutions,155.0,Saudi German Hospital Dubai,37,3,756
Salbutamol,Planet Distribution,7450.0,Saudi German Hospital Dubai,12,2,822
Metronidazole,Metromed,3215.0,Al Zahra Hospital Dubai,38,4,255
Metformin,Paramount Medical Equipment Trading LLC,11019.0,American Hospital Dubai,29,2,556
ECG Machine,Al Zahrawi Medical,483.0,Al Zahra Hospital Dubai,43,4,321
Oxygen Cylinder,HealthPro Distributors UAE,2562.0,Emirates Hospital Dubai,34,3,576
Scalpel,MPC Healthcare,2790.0,Al Zahra Hospital Dubai,37,3,580
Lisinopril,Al Zahrawi Medical,8658.0,American Hospital Dubai,14,1,589
Losartan,Babirus LLC,3482.0,American Hospital Dubai,26,5,226
Lisinopril,Al Naghi Medical,7407.0,Emirates Hospital Dubai,38,4,897
Pantoprazole,Global Med UAE,3698.0,American Hospital Dubai,49,5,613
Hydrochlorothiazide,Metromed,11075.0,Dubai Hospital,28,5,862
Thermometer,Kiwi Medical Supplies,5754.0,American Hospital Dubai,26,4,425
Amoxicillin,MPC Healthcare,12275.0,Saudi German Hospital Dubai,40,4,685
Amoxicillin,Al Naghi Medical,16323.0,Dubai Hospital,11,3,169
Ciprofloxacin,Paramount Medical Equipment Trading LLC,7890.0,Dubai Hospital,38,5,961
IV Bag,Al Maqam Medical Supplies LLC,11514.0,Emirates Hospital Dubai,21,3,243
ECG Machine,Metromed,896.0,NMC Royal Hospital Dubai,34,3,762
Amoxicillin,Pharma Solutions,13133.0,NMC Royal Hospital Dubai,13,3,862
Surgical Scissors,Al Zahrawi Medical,4298.0,American Hospital Dubai,31,2,739
Levothyroxine,Al Zahrawi Medical,7027.0,Dubai Hospital,16,3,924
Hand Sanitizer,Paramount Medical Equipment Trading LLC,4523.0,NMC Royal Hospital Dubai,15,5,546
Paracetamol,Global Med UAE,19967.0,NMC Royal Hospital Dubai,11,4,108
Hand Sanitizer,Planet Distribution,4940.0,American Hospital Dubai,11,3,100
Syringe Set,Global Med UAE,22037.0,NMC Royal Hospital Dubai,16,3,356
Wheelchair,Babirus LLC,3314.0,Al Zahra Hospital Dubai,20,3,488
Syringe Set,Al Maqam Medical Supplies LLC,22348.0,Mediclinic City Hospital Dubai,38,4,990
Defibrillator,City Pharmacy Co.,2844.0,Emirates Hospital Dubai,12,3,902
Azithromycin,Gulf Drug,8449.0,Mediclinic City Hospital Dubai,32,4,236
Atorvastatin,Babirus LLC,6471.0,American Hospital Dubai,40,3,354
Simvastatin,Global Med UAE,7116.0,Saudi German Hospital Dubai,46,3,342
Defibrillator,Metromed,4219.0,Emirates Hospital Dubai,40,3,978
Atorvastatin,Planet Distribution,7326.0,American Hospital Dubai,17,3,561
Hand Sanitizer,Babirus LLC,2602.0,Dubai Hospital,10,3,812
Blood Pressure Monitor,Planet Distribution,2310.0,Saudi German Hospital Dubai,19,1,431
Insulin Pen,Al Naghi Medical,3356.0,Mediclinic City Hospital Dubai,30,3,291
Hand Sanitizer,HealthPro Distributors UAE,3042.0,American Hospital Dubai,25,2,183
Salbutamol,Al Naghi Medical,7390.0,Dubai Hospital,31,4,455
ECG Machine,HealthPro Distributors UAE,4617.0,Emirates Hospital Dubai,47,2,168
Bandage Roll,AKI Pharma,4200.0,Emirates Hospital Dubai,22,5,824
Paracetamol,Babirus LLC,17286.0,Thumbay Hospital Dubai,13,2,290
Bandage Roll,AKI Pharma,2061.0,Dubai Hospital,11,3,591
Ventilator,HealthPro Distributors UAE,4266.0,Al Zahra Hospital Dubai,26,4,688
Ciprofloxacin,AKI Pharma,7431.0,NMC Royal Hospital Dubai,16,3,861
Aspirin,Al Maqam Medical Supplies LLC,11819.0,Saudi German Hospital Dubai,16,2,718
Omeprazole,Gulf Drug,11909.0,Dubai Hospital,22,4,849
Surgical Masks,Planet Distribution,7511.0,Thumbay Hospital Dubai,15,3,981
Wheelchair,Babirus LLC,3064.0,NMC Royal Hospital Dubai,13,5,305
Pantoprazole,Gulf Drug,1057.0,NMC Royal Hospital Dubai,35,3,249
Pulse Oximeter,Pharma Solutions,4011.0,American Hospital Dubai,35,2,474
Paracetamol,Al Maqam Medical Supplies LLC,16044.0,NMC Royal Hospital Dubai,38,2,911
Stethoscope,MPC Healthcare,3605.0,Al Zahra Hospital Dubai,36,4,461
Losartan,Planet Distribution,987.0,Emirates Hospital Dubai,26,4,802
Salbutamol,MPC Healthcare,10934.0,Thumbay Hospital Dubai,37,1,998
Bandage Roll,Metromed,4312.0,NMC Royal Hospital Dubai,29,3,692
Hydrochlorothiazide,Al Naghi Medical,9395.0,American Hospital Dubai,32,3,372
Blood Pressure Monitor,HealthPro Distributors UAE,1078.0,Al Zahra Hospital Dubai,28,2,691
Metformin,Al Maqam Medical Supplies LLC,13096.0,Mediclinic City Hospital Dubai,30,2,963
Hydrochlorothiazide,Al Zahrawi Medical,8511.0,Emirates Hospital Dubai,32,3,379
Simvastatin,Pharma Solutions,7055.0,Emirates Hospital Dubai,44,3,428
Pulse Oximeter,Global Med UAE,3834.0,Thumbay Hospital Dubai,15,4,412
Blood Pressure Monitor,Gulf Drug,2570.0,Emirates Hospital Dubai,11,3,392
ECG Machine,Metromed,3057.0,NMC Royal Hospital Dubai,14,4,149
Metformin,Al Maqam Medical Supplies LLC,11539.0,American Hospital Dubai,20,3,900
Ibuprofen,Babirus LLC,4116.0,Emirates Hospital Dubai,23,3,460
Amoxicillin,Paramount Medical Equipment Trading LLC,14371.0,Emirates Hospital Dubai,25,3,855
Prednisolone,Al Naghi Medical,8475.0,Mediclinic City Hospital Dubai,39,1,233
Thermometer,Pharma Solutions,5302.0,Mediclinic City Hospital Dubai,40,4,362
Insulin Pen,Paramount Medical Equipment Trading LLC,4223.0,Saudi German Hospital Dubai,19,2,267
Doxycycline,HealthPro Distributors UAE,9092.0,Al Zahra Hospital Dubai,20,1,961
Fluconazole,Global Med UAE,6632.0,NMC Royal Hospital Dubai,41,4,766
Insulin Pen,Planet Distribution,6419.0,Emirates Hospital Dubai,50,3,337
Pulse Oximeter,Babirus LLC,3744.0,Dubai Hospital,15,4,862
Aspirin,AKI Pharma,11837.0,Emirates Hospital Dubai,43,3,651
Drip Stand,Paramount Medical Equipment Trading LLC,4655.0,American Hospital Dubai,34,4,109
Defibrillator,City Pharmacy Co.,1129.0,Saudi German Hospital Dubai,42,3,823
Ciprofloxacin,Al Naghi Medical,7429.0,Al Zahra Hospital Dubai,26,4,426
Pulse Oximeter,AKI Pharma,2404.0,Dubai Hospital,19,3,542
Doxycycline,Planet Distribution,5953.0,Saudi German Hospital Dubai,30,4,325
Doxycycline,Global Med UAE,7938.0,Thumbay Hospital Dubai,39,1,438
Surgical Scissors,Metromed,637.0,Al Zahra Hospital Dubai,36,3,283
Syringe Set,HealthPro Distributors UAE,21124.0,Emirates Hospital Dubai,14,3,263
Stethoscope,HealthPro Distributors UAE,4071.0,Emirates Hospital Dubai,27,3,797
Fluconazole,Metromed,6333.0,Al Zahra Hospital Dubai,19,4,958
Metronidazole,City Pharmacy Co.,1627.0,Emirates Hospital Dubai,25,3,886
Hydrochlorothiazide,City Pharmacy Co.,7922.0,NMC Royal Hospital Dubai,19,4,881
Hydrochlorothiazide,City Pharmacy Co.,7730.0,Al Zahra Hospital Dubai,12,2,816
Azithromycin,Planet Distribution,9341.0,Saudi German Hospital Dubai,28,3,929
Amoxicillin,Kiwi Medical Supplies,12358.0,Al Zahra Hospital Dubai,15,4,140
Losartan,Kiwi Medical Supplies,3803.0,Dubai Hospital,29,3,111
Simvastatin,Kiwi Medical Supplies,10814.0,Emirates Hospital Dubai,37,3,184
Scalpel,AKI Pharma,855.0,NMC Royal Hospital Dubai,22,3,861
Lisinopril,Pharma Solutions,9533.0,NMC Royal Hospital Dubai,11,3,982
Pulse Oximeter,Planet Distribution,4936.0,Thumbay Hospital Dubai,19,4,915
ECG Machine,Gulf Drug,4038.0,Saudi German Hospital Dubai,35,3,856
Ventilator,Metromed,2328.0,Mediclinic City Hospital Dubai,14,3,105
Lisinopril,Pharma Solutions,9472.0,Mediclinic City Hospital Dubai,50,1,424
Pulse Oximeter,MPC Healthcare,4983.0,Al Zahra Hospital Dubai,38,2,227
Hydrochlorothiazide,Al Naghi Medical,8901.0,Thumbay Hospital Dubai,25,4,818
Sterile Gauze,Global Med UAE,793.0,American Hospital Dubai,19,2,477
Simvastatin,HealthPro Distributors UAE,10606.0,Al Zahra Hospital Dubai,37,2,534
ECG Machine,Pharma Solutions,1943.0,Thumbay Hospital Dubai,19,3,692
Ventilator,Global Med UAE,3217.0,Saudi German Hospital Dubai,10,3,999
Wheelchair,Al Zahrawi Medical,2203.0,Saudi German Hospital Dubai,11,4,252
Drip Stand,Pharma Solutions,1592.0,Saudi German Hospital Dubai,21,3,871
Aspirin,Metromed,10498.0,Saudi German Hospital Dubai,13,3,873
Metformin,Al Naghi Medical,12667.0,Saudi German Hospital Dubai,14,3,355
Metformin,Metromed,12560.0,Thumbay Hospital Dubai,23,2,280
Pulse Oximeter,AKI Pharma,1328.0,Thumbay Hospital Dubai,21,1,734
Disposable Gloves,Al Naghi Medical,8851.0,NMC Royal Hospital Dubai,36,5,197
Omeprazole,HealthPro Distributors UAE,12950.0,Dubai Hospital,11,2,970
Thermometer,Paramount Medical Equipment Trading LLC,6910.0,Mediclinic City Hospital Dubai,32,1,578
Levothyroxine,Al Zahrawi Medical,9837.0,Emirates Hospital Dubai,32,3,448
Atorvastatin,Gulf Drug,5860.0,Saudi German Hospital Dubai,30,2,785
Pulse Oximeter,Babirus LLC,1403.0,American Hospital Dubai,28,3,191
Doxycycline,Al Naghi Medical,7242.0,Emirates Hospital Dubai,15,3,446
Pulse Oximeter,Planet Distribution,4662.0,Thumbay Hospital Dubai,37,3,412
Ventilator,Al Maqam Medical Supplies LLC,2338.0,American Hospital Dubai,50,4,438
Defibrillator,Al Maqam Medical Supplies LLC,4449.0,American Hospital Dubai,14,3,663
Ventilator,AKI Pharma,1066.0,American Hospital Dubai,41,4,706
Insulin Pen,Pharma Solutions,7417.0,NMC Royal Hospital Dubai,41,5,222
Lisinopril,City Pharmacy Co.,10663.0,Thumbay Hospital Dubai,23,3,899
Surgical Masks,HealthPro Distributors UAE,6839.0,American Hospital Dubai,11,1,397
Syringe Set,AKI Pharma,21965.0,Saudi German Hospital Dubai,13,2,942
Levothyroxine,Al Naghi Medical,7013.0,Al Zahra Hospital Dubai,27,3,748
Simvastatin,AKI Pharma,7824.0,American Hospital Dubai,49,3,421
Hand Sanitizer,Al Naghi Medical,2285.0,NMC Royal Hospital Dubai,25,1,514
Wheelchair,Babirus LLC,3396.0,Emirates Hospital Dubai,37,2,494
Blood Pressure Monitor,Al Zahrawi Medical,2782.0,Thumbay Hospital Dubai,20,5,988
Metformin,Pharma Solutions,12495.0,Dubai Hospital,50,1,289
Thermometer,Al Naghi Medical,7295.0,NMC Royal Hospital Dubai,49,3,123
Oxygen Cylinder,HealthPro Distributors UAE,349.0,American Hospital Dubai,18,2,240
Doxycycline,Al Naghi Medical,8026.0,Thumbay Hospital Dubai,37,1,281
Atorvastatin,MPC Healthcare,3353.0,Al Zahra Hospital Dubai,22,2,911
Drip Stand,Global Med UAE,2595.0,American Hospital Dubai,47,4,832
Pantoprazole,Gulf Drug,560.0,NMC Royal Hospital Dubai,50,3,357
Bandage Roll,MPC Healthcare,4154.0,Mediclinic City Hospital Dubai,44,2,641
Sterile Gauze,Al Zahrawi Medical,1590.0,Saudi German Hospital Dubai,41,3,608
ECG Machine,Planet Distribution,1673.0,Dubai Hospital,41,3,452
Drip Stand,Pharma Solutions,1805.0,Emirates Hospital Dubai,21,2,853
Hand Sanitizer,Global Med UAE,2471.0,NMC Royal Hospital Dubai,45,5,887
Insulin Pen,Al Zahrawi Medical,6934.0,Thumbay Hospital Dubai,44,3,541
Surgical Masks,Al Naghi Medical,4270.0,Dubai Hospital,27,3,350
Thermometer,AKI Pharma,8008.0,Dubai Hospital,31,3,902
Drip Stand,Babirus LLC,1689.0,Dubai Hospital,10,4,536
Drip Stand,Planet Distribution,1863.0,American Hospital Dubai,18,3,641
Drip Stand,Metromed,2390.0,Saudi German Hospital Dubai,10,3,880
Hydrochlorothiazide,Paramount Medical Equipment Trading LLC,10894.0,American Hospital Dubai,32,4,547
Pulse Oximeter,City Pharmacy Co.,2711.0,Thumbay Hospital Dubai,33,4,848
Surgical Scissors,Al Maqam Medical Supplies LLC,4063.0,American Hospital Dubai,40,3,190
Levothyroxine,Global Med UAE,9497.0,Mediclinic City Hospital Dubai,37,4,117
Bandage Roll,City Pharmacy Co.,1516.0,Saudi German Hospital Dubai,48,2,318
Sterile Gauze,MPC Healthcare,1108.0,Saudi German Hospital Dubai,17,2,925
Ventilator,HealthPro Distributors UAE,3974.0,Thumbay Hospital Dubai,40,3,937
Sterile Gauze,AKI Pharma,1733.0,Emirates Hospital Dubai,10,4,765
Ibuprofen,Pharma Solutions,1890.0,Mediclinic City Hospital Dubai,21,2,436
Drip Stand,Al Naghi Medical,3547.0,NMC Royal Hospital Dubai,45,3,593
Salbutamol,Global Med UAE,10228.0,American Hospital Dubai,14,2,562
IV Bag,HealthPro Distributors UAE,10064.0,Al Zahra Hospital Dubai,31,4,429
Surgical Scissors,HealthPro Distributors UAE,1979.0,American Hospital Dubai,22,2,296
Azithromycin,Pharma Solutions,12103.0,Dubai Hospital,45,2,195
Disposable Gloves,Pharma Solutions,8228.0,American Hospital Dubai,28,5,172
Wheelchair,Global Med UAE,4673.0,NMC Royal Hospital Dubai,41,4,216
IV Bag,HealthPro Distributors UAE,14739.0,American Hospital Dubai,22,3,635
Simvastatin,Al Maqam Medical Supplies LLC,9450.0,Mediclinic City Hospital Dubai,16,5,460
Surgical Scissors,City Pharmacy Co.,426.0,Mediclinic City Hospital Dubai,38,3,451
Ventilator,AKI Pharma,4772.0,Saudi German Hospital Dubai,17,3,120
Ibuprofen,Babirus LLC,487.0,Thumbay Hospital Dubai,31,3,466
Metformin,Al Naghi Medical,11104.0,Emirates Hospital Dubai,36,3,933
Hydrochlorothiazide,Global Med UAE,9502.0,Al Zahra Hospital Dubai,43,3,185
Doxycycline,Babirus LLC,4816.0,Dubai Hospital,36,2,540
Bandage Roll,Pharma Solutions,2919.0,American Hospital Dubai,20,3,404
Salbutamol,HealthPro Distributors UAE,10097.0,American Hospital Dubai,23,3,683
Surgical Scissors,AKI Pharma,2068.0,NMC Royal Hospital Dubai,26,3,987
Ventilator,Kiwi Medical Supplies,1540.0,Thumbay Hospital Dubai,38,3,388
Stethoscope,Paramount Medical Equipment Trading LLC,3612.0,Mediclinic City Hospital Dubai,36,3,665
Pulse Oximeter,City Pharmacy Co.,2062.0,Al Zahra Hospital Dubai,28,3,505
Salbutamol,Pharma Solutions,8029.0,Saudi German Hospital Dubai,15,2,171
Aspirin,Paramount Medical Equipment Trading LLC,10530.0,Mediclinic City Hospital Dubai,44,3,391
Doxycycline,Pharma Solutions,6626.0,Dubai Hospital,13,2,372
Thermometer,Global Med UAE,6978.0,Thumbay Hospital Dubai,49,4,718
Fluconazole,Gulf Drug,7310.0,Dubai Hospital,22,2,815
Hand Sanitizer,AKI Pharma,3267.0,Emirates Hospital Dubai,27,3,435
Thermometer,Paramount Medical Equipment Trading LLC,8837.0,Saudi German Hospital Dubai,14,3,860
Losartan,MPC Healthcare,3997.0,Emirates Hospital Dubai,33,4,984
Metformin,Planet Distribution,10904.0,NMC Royal Hospital Dubai,48,3,403
Insulin Pen,Metromed,6807.0,Dubai Hospital,14,4,315
Hand Sanitizer,HealthPro Distributors UAE,4520.0,NMC Royal Hospital Dubai,10,3,876
Losartan,Al Maqam Medical Supplies LLC,1078.0,American Hospital Dubai,12,2,662
Defibrillator,Al Naghi Medical,4814.0,Emirates Hospital Dubai,33,3,342
Fluconazole,Paramount Medical Equipment Trading LLC,5535.0,Thumbay Hospital Dubai,10,4,475
Ibuprofen,Paramount Medical Equipment Trading LLC,2268.0,Dubai Hospital,19,2,888
Metformin,Al Zahrawi Medical,13813.0,Al Zahra Hospital Dubai,46,1,660
Omeprazole,Al Naghi Medical,10149.0,Saudi German Hospital Dubai,32,1,320
Oxygen Cylinder,Global Med UAE,2554.0,Mediclinic City Hospital Dubai,36,3,533
Wheelchair,Global Med UAE,4349.0,Thumbay Hospital Dubai,14,2,736
Defibrillator,Al Zahrawi Medical,1695.0,Thumbay Hospital Dubai,19,2,240
Syringe Set,Al Maqam Medical Supplies LLC,20786.0,NMC Royal Hospital Dubai,27,1,235
Doxycycline,Babirus LLC,6442.0,Emirates Hospital Dubai,50,3,595
