id,keyword,location,text,target
125,workout,Japan,This weather is perfect for a long run.,0
126,medication,Japan,I absolutely love my fitness journey so far.,0
127,flu,Brazil,Just got diagnosed with flu. Anyone have any advice?,1
128,medication,UK,Feeling great after a relaxing yoga session.,0
129,flu,Germany,My flu symptoms are just unbearable.,1
130,allergy,Canada,"Staying consistent with my workouts, it pays off.",0
131,flu,France,"This flu is getting worse each day, any suggestions?",1
132,medication,USA,Fitness goals achieved for the day!,0
133,medication,India,Enjoying a relaxing day without any worries!,0
134,asthma,Australia,Enjoying a relaxing day without any worries!,0
135,medication,India,Getting into the best shape of my life.,0
136,medication,Brazil,Enjoying a relaxing day without any worries!,0
137,headache,Australia,My grandma just passed away from headache. RIP,1
138,flu,USA,"This flu is getting worse each day, any suggestions?",1
139,medication,Brazil,"Had a nice cup of coffee, time to start the day!",0
140,cold,Canada,Getting into the best shape of my life.,0
141,cancer,Australia,Just got diagnosed with cancer. Anyone have any advice?,1
142,headache,Germany,"I've just been diagnosed with headache, looking for support.",1
143,headache,USA,Having a rough time dealing with headache.,1
144,medication,Australia,This weather is perfect for a long run.,0
145,allergy,Brazil,"I'm all about that gym life, workouts every day.",0
146,asthma,Germany,Loving this healthy lifestyle I've been following.,0
147,diabetes,India,Just got diagnosed with diabetes. Anyone have any advice?,1
148,flu,South Africa,Just got diagnosed with flu. Anyone have any advice?,1
149,asthma,India,Just finished a great workout at the gym Feeling energized,0
150,allergy,South Africa,"Loving the new place I moved into, feels great!",0
151,diabetes,South Africa,I've been feeling really sick with diabetes all week. Anyone have any tips?,1
152,medication,Australia,"Staying consistent with my workouts, it pays off.",0
153,flu,Brazil,"This flu is getting worse each day, any suggestions?",1
154,allergy,India,Enjoying a relaxing day without any worries!,0
155,flu,France,"Doctor prescribed me new flu medication, hoping it helps.",1
156,allergy,UK,This weather is perfect for a long run.,0
157,cold,USA,"Fitness is a lifestyle, and I'm fully embracing it.",0
158,diabetes,South Africa,I've been feeling really sick with diabetes all week. Anyone have any tips?,1
159,fitness,Canada,I can't believe I have fitness.,1
160,workout,India,Feeling great after a relaxing yoga session.,0
161,workout,India,I absolutely love my fitness journey so far.,0
162,workout,India,"Had a nice cup of coffee, time to start the day!",0
163,medication,South Africa,"Had a nice cup of coffee, time to start the day!",0
164,cancer,UK,Finally got medication for my cancer.,1
165,cancer,Australia,I can't believe I have cancer.,1
166,asthma,USA,I absolutely love my fitness journey so far.,0
167,cancer,UK,Having a rough time dealing with cancer.,1
168,diabetes,USA,My diabetes symptoms are just unbearable.,1
169,allergy,South Africa,Feeling great after a relaxing yoga session.,0
170,cold,France,I absolutely love my fitness journey so far.,0
171,cold,Japan,I absolutely love my fitness journey so far.,0
172,medication,India,Just finished a great workout at the gym Feeling energized,0
173,asthma,Brazil,"Fitness is a lifestyle, and I'm fully embracing it.",0
174,headache,South Africa,Finally got medication for my headache.,1
175,diabetes,Brazil,"This diabetes is getting worse each day, any suggestions?",1
176,asthma,South Africa,Feeling great after a relaxing yoga session.,0
177,cold,UK,"Just had an amazing run, feeling so fit.",0
178,cancer,India,Finally got medication for my cancer.,1
179,medication,Japan,Loving this healthy lifestyle I've been following.,0
180,allergy,South Africa,Fitness goals achieved for the day!,0
181,cancer,France,"Ugh, I've had a cancer all day. Anyone know any good remedies?",1
182,medication,Japan,This weather is perfect for a long run.,0
183,headache,Australia,Does anyone know good treatments for headache?,1
184,cold,France,Just finished a great workout at the gym Feeling energized,0
185,allergy,Australia,Just finished a great workout at the gym Feeling energized,0
186,allergy,Brazil,Getting into the best shape of my life.,0
187,fitness,UK,"Ugh, I've had a fitness all day. Anyone know any good remedies?",1
188,diabetes,UK,I've been feeling really sick with diabetes all week. Anyone have any tips?,1
189,workout,Germany,Fitness goals achieved for the day!,0
190,fitness,USA,My grandma just passed away from fitness. RIP,1
191,cancer,USA,Diagnosed with cancer and really don't know what to do.,1
192,fitness,South Africa,"Doctor prescribed me new fitness medication, hoping it helps.",1
193,workout,South Africa,"Loving the new place I moved into, feels great!",0
194,diabetes,Brazil,I've been feeling really sick with diabetes all week. Anyone have any tips?,1
195,workout,USA,This weather is perfect for a long run.,0
196,flu,USA,My grandma just passed away from flu. RIP,1
197,flu,India,My flu symptoms are just unbearable.,1
198,diabetes,Japan,My diabetes symptoms are just unbearable.,1
199,workout,Australia,This weather is perfect for a long run.,0
200,medication,USA,"Had a nice cup of coffee, time to start the day!",0
201,flu,UK,Finally got medication for my flu.,1
202,asthma,France,"I'm all about that gym life, workouts every day.",0
203,cancer,Canada,"This cancer is getting worse each day, any suggestions?",1
204,cold,South Africa,I absolutely love my fitness journey so far.,0
205,fitness,South Africa,Diagnosed with fitness and really don't know what to do.,1
206,flu,Brazil,Just got diagnosed with flu. Anyone have any advice?,1
207,allergy,UK,This weather is perfect for a long run.,0
208,asthma,Australia,"Had a nice cup of coffee, time to start the day!",0
209,asthma,Japan,This weather is perfect for a long run.,0
210,fitness,Brazil,"Ugh, I've had a fitness all day. Anyone know any good remedies?",1
211,workout,South Africa,Feeling great after a relaxing yoga session.,0
212,medication,UK,"Staying consistent with my workouts, it pays off.",0
213,medication,Canada,"I'm all about that gym life, workouts every day.",0
214,cold,Australia,Fitness goals achieved for the day!,0
215,fitness,Brazil,Just got diagnosed with fitness. Anyone have any advice?,1
216,cancer,France,Anyone else suffering from cancer lately?,1
217,headache,Canada,"Ugh, I've had a headache all day. Anyone know any good remedies?",1
218,diabetes,Brazil,Does anyone know good treatments for diabetes?,1
219,workout,Germany,Fitness goals achieved for the day!,0
220,cold,USA,"Had a nice cup of coffee, time to start the day!",0
221,cold,Germany,"Just had an amazing run, feeling so fit.",0
222,cold,Japan,Fitness goals achieved for the day!,0
223,diabetes,India,"This diabetes is getting worse each day, any suggestions?",1
224,cancer,Japan,"I've just been diagnosed with cancer, looking for support.",1
225,allergy,Brazil,Enjoying a relaxing day without any worries!,0
226,diabetes,Brazil,Finally got medication for my diabetes.,1
227,cancer,South Africa,Just got diagnosed with cancer. Anyone have any advice?,1
228,fitness,Germany,My fitness symptoms are just unbearable.,1
229,cold,Brazil,"Just had an amazing run, feeling so fit.",0
230,medication,Japan,Loving this healthy lifestyle I've been following.,0
231,medication,USA,Just finished a great workout at the gym Feeling energized,0
232,asthma,USA,This weather is perfect for a long run.,0
233,headache,Japan,I can't believe I have headache.,1
234,workout,South Africa,Enjoying a relaxing day without any worries!,0
235,cold,UK,Loving this healthy lifestyle I've been following.,0
236,medication,South Africa,"Fitness is a lifestyle, and I'm fully embracing it.",0
237,workout,South Africa,"Fitness is a lifestyle, and I'm fully embracing it.",0
238,headache,UK,My headache symptoms are just unbearable.,1
239,cold,Japan,"Had a nice cup of coffee, time to start the day!",0
240,medication,South Africa,"I'm all about that gym life, workouts every day.",0
241,fitness,USA,"Ugh, I've had a fitness all day. Anyone know any good remedies?",1
242,allergy,Japan,"Staying consistent with my workouts, it pays off.",0
243,flu,Canada,Having a rough time dealing with flu.,1
244,allergy,Brazil,Fitness goals achieved for the day!,0
245,headache,Germany,"I've just been diagnosed with headache, looking for support.",1
246,asthma,Japan,"Had a nice cup of coffee, time to start the day!",0
247,medication,Canada,"Staying consistent with my workouts, it pays off.",0
248,fitness,France,Just got diagnosed with fitness. Anyone have any advice?,1
249,diabetes,Australia,Having a rough time dealing with diabetes.,1
250,medication,Germany,Fitness goals achieved for the day!,0
251,cold,France,This weather is perfect for a long run.,0
252,medication,USA,Getting into the best shape of my life.,0
253,cancer,South Africa,Having a rough time dealing with cancer.,1
254,flu,USA,I can't believe I have flu.,1
255,asthma,Australia,This weather is perfect for a long run.,0
256,cancer,Canada,Finally got medication for my cancer.,1
257,cancer,Brazil,Having a rough time dealing with cancer.,1
258,asthma,USA,Feeling great after a relaxing yoga session.,0
259,cancer,South Africa,"Doctor prescribed me new cancer medication, hoping it helps.",1
260,fitness,South Africa,I've been feeling really sick with fitness all week. Anyone have any tips?,1
261,flu,India,"Ugh, I've had a flu all day. Anyone know any good remedies?",1
262,cold,USA,This weather is perfect for a long run.,0
263,cold,India,Fitness goals achieved for the day!,0
264,diabetes,Australia,Just got diagnosed with diabetes. Anyone have any advice?,1
265,workout,Canada,I absolutely love my fitness journey so far.,0
266,asthma,Germany,"Staying consistent with my workouts, it pays off.",0
267,fitness,Brazil,"This fitness is getting worse each day, any suggestions?",1
268,asthma,India,I absolutely love my fitness journey so far.,0
269,workout,Australia,"Staying consistent with my workouts, it pays off.",0
270,cancer,South Africa,Does anyone know good treatments for cancer?,1
271,diabetes,Brazil,Does anyone know good treatments for diabetes?,1
272,flu,Brazil,Just got diagnosed with flu. Anyone have any advice?,1
273,headache,Germany,My headache symptoms are just unbearable.,1
274,workout,Canada,I absolutely love my fitness journey so far.,0
275,medication,Australia,"Fitness is a lifestyle, and I'm fully embracing it.",0
276,asthma,South Africa,"Loving the new place I moved into, feels great!",0
277,flu,India,Finally got medication for my flu.,1
278,flu,Germany,I can't believe I have flu.,1
279,medication,USA,This weather is perfect for a long run.,0
280,asthma,Canada,"Had a nice cup of coffee, time to start the day!",0
281,workout,Germany,"Just had an amazing run, feeling so fit.",0
282,allergy,South Africa,This weather is perfect for a long run.,0
283,allergy,Brazil,"Staying consistent with my workouts, it pays off.",0
284,fitness,Japan,I can't believe I have fitness.,1
285,flu,India,"I've just been diagnosed with flu, looking for support.",1
286,allergy,Australia,Getting into the best shape of my life.,0
287,flu,Japan,I've been feeling really sick with flu all week. Anyone have any tips?,1
288,headache,Australia,Having a rough time dealing with headache.,1
289,medication,Japan,Feeling great after a relaxing yoga session.,0
290,flu,USA,"Ugh, I've had a flu all day. Anyone know any good remedies?",1
291,diabetes,Australia,Having a rough time dealing with diabetes.,1
292,fitness,Germany,Anyone else suffering from fitness lately?,1
293,medication,South Africa,This weather is perfect for a long run.,0
294,flu,Brazil,Diagnosed with flu and really don't know what to do.,1
295,allergy,UK,Fitness goals achieved for the day!,0
296,flu,Japan,Just got diagnosed with flu. Anyone have any advice?,1
297,asthma,Japan,"I'm all about that gym life, workouts every day.",0
298,medication,Brazil,Fitness goals achieved for the day!,0
299,cancer,Brazil,I can't believe I have cancer.,1
300,flu,France,Anyone else suffering from flu lately?,1
301,workout,USA,Just finished a great workout at the gym Feeling energized,0
302,workout,South Africa,"Just had an amazing run, feeling so fit.",0
303,fitness,UK,"Doctor prescribed me new fitness medication, hoping it helps.",1
304,cold,France,"Loving the new place I moved into, feels great!",0
305,cold,Australia,This weather is perfect for a long run.,0
306,flu,Germany,Finally got medication for my flu.,1
307,allergy,France,"Just had an amazing run, feeling so fit.",0
308,cold,Brazil,"Had a nice cup of coffee, time to start the day!",0
309,diabetes,USA,I've been feeling really sick with diabetes all week. Anyone have any tips?,1
310,diabetes,USA,"I've just been diagnosed with diabetes, looking for support.",1
311,allergy,Japan,"Staying consistent with my workouts, it pays off.",0
312,asthma,UK,Getting into the best shape of my life.,0
313,fitness,France,I've been feeling really sick with fitness all week. Anyone have any tips?,1
314,cancer,Australia,"This cancer is getting worse each day, any suggestions?",1
315,flu,Germany,"Doctor prescribed me new flu medication, hoping it helps.",1
316,workout,Canada,"I'm all about that gym life, workouts every day.",0
317,medication,Brazil,Feeling great after a relaxing yoga session.,0
318,flu,Brazil,"This flu is getting worse each day, any suggestions?",1
319,workout,France,Loving this healthy lifestyle I've been following.,0
320,asthma,Germany,Fitness goals achieved for the day!,0
321,fitness,UK,Finally got medication for my fitness.,1
322,asthma,Brazil,"I'm all about that gym life, workouts every day.",0
323,cancer,Canada,Diagnosed with cancer and really don't know what to do.,1
324,asthma,Australia,I absolutely love my fitness journey so far.,0
325,headache,South Africa,Having a rough time dealing with headache.,1
326,medication,Japan,"Had a nice cup of coffee, time to start the day!",0
327,allergy,Brazil,Loving this healthy lifestyle I've been following.,0
328,medication,Germany,Fitness goals achieved for the day!,0
329,cold,UK,"Staying consistent with my workouts, it pays off.",0
330,workout,India,Just finished a great workout at the gym Feeling energized,0
331,workout,South Africa,"Had a nice cup of coffee, time to start the day!",0
332,headache,South Africa,"Ugh, I've had a headache all day. Anyone know any good remedies?",1
333,diabetes,Germany,Finally got medication for my diabetes.,1
334,workout,UK,I absolutely love my fitness journey so far.,0
335,workout,Germany,Loving this healthy lifestyle I've been following.,0
336,flu,USA,Does anyone know good treatments for flu?,1
337,asthma,UK,Just finished a great workout at the gym Feeling energized,0
338,cold,Japan,Loving this healthy lifestyle I've been following.,0
339,headache,Brazil,Diagnosed with headache and really don't know what to do.,1
340,medication,Brazil,"Loving the new place I moved into, feels great!",0
341,workout,USA,"Had a nice cup of coffee, time to start the day!",0
342,diabetes,Japan,I've been feeling really sick with diabetes all week. Anyone have any tips?,1
343,flu,France,Having a rough time dealing with flu.,1
344,flu,USA,Having a rough time dealing with flu.,1
345,cancer,Canada,"Doctor prescribed me new cancer medication, hoping it helps.",1
346,cancer,USA,Having a rough time dealing with cancer.,1
347,medication,Canada,Loving this healthy lifestyle I've been following.,0
348,allergy,Germany,Fitness goals achieved for the day!,0
349,flu,Australia,My grandma just passed away from flu. RIP,1
350,cancer,Brazil,I've been feeling really sick with cancer all week. Anyone have any tips?,1
351,headache,Canada,My grandma just passed away from headache. RIP,1
352,cancer,Brazil,My cancer symptoms are just unbearable.,1
353,cold,Australia,I absolutely love my fitness journey so far.,0
354,flu,UK,Just got diagnosed with flu. Anyone have any advice?,1
355,cancer,Australia,"Doctor prescribed me new cancer medication, hoping it helps.",1
356,cancer,USA,Diagnosed with cancer and really don't know what to do.,1
357,cancer,USA,I can't believe I have cancer.,1
358,cancer,Germany,Just got diagnosed with cancer. Anyone have any advice?,1
359,cancer,South Africa,"I've just been diagnosed with cancer, looking for support.",1
360,workout,France,"Loving the new place I moved into, feels great!",0
361,allergy,France,This weather is perfect for a long run.,0
362,allergy,Germany,Fitness goals achieved for the day!,0
363,asthma,Canada,Fitness goals achieved for the day!,0
364,headache,India,Diagnosed with headache and really don't know what to do.,1
365,cancer,USA,"Ugh, I've had a cancer all day. Anyone know any good remedies?",1
366,cancer,USA,My cancer symptoms are just unbearable.,1
367,cold,Canada,"Had a nice cup of coffee, time to start the day!",0
368,cancer,Japan,"This cancer is getting worse each day, any suggestions?",1
369,fitness,Germany,I've been feeling really sick with fitness all week. Anyone have any tips?,1
370,asthma,Japan,I absolutely love my fitness journey so far.,0
371,headache,Canada,I've been feeling really sick with headache all week. Anyone have any tips?,1
372,workout,Canada,Just finished a great workout at the gym Feeling energized,0
373,headache,UK,Diagnosed with headache and really don't know what to do.,1
374,allergy,Brazil,"Fitness is a lifestyle, and I'm fully embracing it.",0
375,allergy,Australia,"I'm all about that gym life, workouts every day.",0
376,cold,South Africa,"Fitness is a lifestyle, and I'm fully embracing it.",0
377,fitness,Australia,Anyone else suffering from fitness lately?,1
378,diabetes,Canada,My grandma just passed away from diabetes. RIP,1
379,workout,USA,Just finished a great workout at the gym Feeling energized,0
380,headache,Brazil,My grandma just passed away from headache. RIP,1
381,allergy,Germany,"I'm all about that gym life, workouts every day.",0
382,asthma,Australia,This weather is perfect for a long run.,0
383,diabetes,Canada,Finally got medication for my diabetes.,1
384,fitness,Canada,Having a rough time dealing with fitness.,1
385,fitness,India,I can't believe I have fitness.,1
386,workout,UK,"Staying consistent with my workouts, it pays off.",0
387,headache,Germany,I can't believe I have headache.,1
388,headache,Japan,Finally got medication for my headache.,1
389,allergy,Brazil,Getting into the best shape of my life.,0
390,workout,France,"Fitness is a lifestyle, and I'm fully embracing it.",0
391,allergy,Canada,Fitness goals achieved for the day!,0
392,flu,UK,I can't believe I have flu.,1
393,medication,USA,Feeling great after a relaxing yoga session.,0
394,asthma,Brazil,"Had a nice cup of coffee, time to start the day!",0
395,cancer,South Africa,Finally got medication for my cancer.,1
396,cancer,USA,"Doctor prescribed me new cancer medication, hoping it helps.",1
397,cold,Japan,"Just had an amazing run, feeling so fit.",0
398,headache,India,"I've just been diagnosed with headache, looking for support.",1
399,cancer,UK,Does anyone know good treatments for cancer?,1
400,diabetes,UK,"I've just been diagnosed with diabetes, looking for support.",1
401,flu,India,Does anyone know good treatments for flu?,1
402,asthma,USA,"I'm all about that gym life, workouts every day.",0
403,flu,Brazil,Does anyone know good treatments for flu?,1
404,cold,France,I absolutely love my fitness journey so far.,0
405,diabetes,UK,"This diabetes is getting worse each day, any suggestions?",1
406,fitness,Canada,Anyone else suffering from fitness lately?,1
407,flu,Germany,Having a rough time dealing with flu.,1
408,allergy,USA,"I'm all about that gym life, workouts every day.",0
409,cancer,Canada,My grandma just passed away from cancer. RIP,1
410,diabetes,Japan,"I've just been diagnosed with diabetes, looking for support.",1
411,asthma,Canada,This weather is perfect for a long run.,0
412,cold,India,Getting into the best shape of my life.,0
413,medication,Germany,This weather is perfect for a long run.,0
414,medication,South Africa,I absolutely love my fitness journey so far.,0
415,headache,Canada,I've been feeling really sick with headache all week. Anyone have any tips?,1
416,flu,UK,My flu symptoms are just unbearable.,1
417,headache,India,Just got diagnosed with headache. Anyone have any advice?,1
418,fitness,UK,Having a rough time dealing with fitness.,1
419,workout,Canada,I absolutely love my fitness journey so far.,0
420,fitness,France,I've been feeling really sick with fitness all week. Anyone have any tips?,1
421,workout,Germany,Getting into the best shape of my life.,0
422,workout,USA,"Loving the new place I moved into, feels great!",0
423,cold,Canada,Just finished a great workout at the gym Feeling energized,0
424,workout,Australia,"I'm all about that gym life, workouts every day.",0
425,flu,UK,"Doctor prescribed me new flu medication, hoping it helps.",1
426,diabetes,USA,I can't believe I have diabetes.,1
427,diabetes,India,Just got diagnosed with diabetes. Anyone have any advice?,1
428,cancer,USA,Diagnosed with cancer and really don't know what to do.,1
429,cold,India,Enjoying a relaxing day without any worries!,0
430,medication,South Africa,"Had a nice cup of coffee, time to start the day!",0
431,fitness,Australia,My grandma just passed away from fitness. RIP,1
432,workout,Japan,"Just had an amazing run, feeling so fit.",0
433,fitness,Brazil,Does anyone know good treatments for fitness?,1
434,fitness,Germany,"I've just been diagnosed with fitness, looking for support.",1
435,allergy,Australia,Loving this healthy lifestyle I've been following.,0
436,diabetes,India,Does anyone know good treatments for diabetes?,1
437,flu,Canada,Just got diagnosed with flu. Anyone have any advice?,1
438,fitness,Brazil,My fitness symptoms are just unbearable.,1
439,flu,France,"Ugh, I've had a flu all day. Anyone know any good remedies?",1
440,cancer,UK,Anyone else suffering from cancer lately?,1
441,flu,India,Diagnosed with flu and really don't know what to do.,1
442,headache,France,Does anyone know good treatments for headache?,1
443,workout,USA,Feeling great after a relaxing yoga session.,0
444,workout,Germany,Getting into the best shape of my life.,0
445,cold,Canada,"Staying consistent with my workouts, it pays off.",0
446,cancer,Japan,Just got diagnosed with cancer. Anyone have any advice?,1
447,flu,France,Diagnosed with flu and really don't know what to do.,1
448,cold,Brazil,Just finished a great workout at the gym Feeling energized,0
449,allergy,UK,"Just had an amazing run, feeling so fit.",0
450,allergy,India,Fitness goals achieved for the day!,0
451,cold,South Africa,Getting into the best shape of my life.,0
452,headache,South Africa,My grandma just passed away from headache. RIP,1
453,cancer,South Africa,Does anyone know good treatments for cancer?,1
454,cancer,UK,Just got diagnosed with cancer. Anyone have any advice?,1
455,flu,France,"Doctor prescribed me new flu medication, hoping it helps.",1
456,allergy,Japan,"Fitness is a lifestyle, and I'm fully embracing it.",0
457,cold,Australia,I absolutely love my fitness journey so far.,0
458,cold,Brazil,"Staying consistent with my workouts, it pays off.",0
459,flu,Japan,Diagnosed with flu and really don't know what to do.,1
460,flu,Australia,My grandma just passed away from flu. RIP,1
461,cancer,South Africa,Just got diagnosed with cancer. Anyone have any advice?,1
462,fitness,Canada,I can't believe I have fitness.,1
463,cold,Japan,"I'm all about that gym life, workouts every day.",0
464,allergy,USA,"Fitness is a lifestyle, and I'm fully embracing it.",0
465,cold,Japan,"Had a nice cup of coffee, time to start the day!",0
466,workout,Japan,Loving this healthy lifestyle I've been following.,0
467,medication,Japan,Loving this healthy lifestyle I've been following.,0
468,asthma,South Africa,I absolutely love my fitness journey so far.,0
469,medication,UK,"I'm all about that gym life, workouts every day.",0
470,cancer,Brazil,My cancer symptoms are just unbearable.,1
471,cold,Japan,"I'm all about that gym life, workouts every day.",0
472,workout,Brazil,I absolutely love my fitness journey so far.,0
473,workout,Canada,"Just had an amazing run, feeling so fit.",0
474,medication,South Africa,Loving this healthy lifestyle I've been following.,0
475,cancer,UK,"Doctor prescribed me new cancer medication, hoping it helps.",1
476,cancer,Germany,Just got diagnosed with cancer. Anyone have any advice?,1
477,cold,France,"Staying consistent with my workouts, it pays off.",0
478,flu,USA,Does anyone know good treatments for flu?,1
